pageid,ns,title
61910,0,Climate change and agriculture
63092,0,Joseph Stiglitz
66577,0,Tropics
66618,0,The Limits to Growth
66984,0,Reforestation
67042,0,Weatherization
67043,0,Thermal insulation
67458,0,Coalbed methane extraction
67554,0,Invasive species
68316,0,Heat pump
69837,0,Committee on Climate Change Science and Technology Integration
69902,0,Extreme weather
71318,0,100-year flood
72361,0,Keith Shine
72727,0,Green Revolution
75095,0,Asian brown cloud
77495,0,Mohenjo-daro
78468,0,David Attenborough
78469,0,La Niña
78481,0,Evapotranspiration
83971,0,Earth Simulator
84107,0,Carbon tax
99404,0,Peat
100406,0,Protected area
100410,0,Natura 2000
102024,0,Wetland
105592,0,"Kivalina, Alaska"
113728,0,Geothermal energy
142440,0,Climatology
142449,0,Tree farm
149261,0,Coastal erosion
150014,0,Milutin Milanković
157774,0,Permafrost
158705,0,Oil spill
164600,0,General circulation model
164681,0,Prognostic variable
169300,0,Leipzig Declaration
170501,0,Productivism
171866,0,Agricultural subsidy
177696,0,Energy economics
179863,0,Climate of Antarctica
180447,0,Bert Bolin
181324,0,Heidelberg Appeal
182075,0,Richard Lindzen
182371,0,Instrumental temperature record
183390,0,Carbon audit regime
184726,0,Heat transfer
188418,0,Overconsumption (economics)
188543,0,Biofuel
188545,0,Hydrogen vehicle
188551,0,Biodiesel
189284,0,Steelmaking
192021,0,Stormwater
192025,0,Green roof
195205,0,Sustainable management
198570,0,Oil well
200167,0,Water cycle
201479,0,Syngas
201485,0,Lithium-ion battery
202898,0,Atmosphere of Earth
213555,0,Solar updraft tower
215051,0,Ground-level ozone
215909,0,Electricity market
216143,0,Sustainable agriculture
216147,0,Conservation agriculture
216361,0,Food security
216410,0,Daisyworld
224312,0,Lapse rate
226047,0,Road pricing
229073,0,Congestion pricing
229275,0,Lamb and mutton
234143,0,Seagrass
235907,0,Water extraction
238150,0,Furnace (central heating)
240228,0,Biological pump
242098,0,Sierra Club
242424,0,Volcanic winter of 536
243515,0,Community-supported agriculture
248189,0,Gaia hypothesis
250491,0,Tree planting
254753,0,Frequent-flyer program
256061,0,Rajendra K. Pachauri
256310,0,John Tyndall
262712,0,Slash-and-burn
265062,0,Salt marsh
265189,0,Ringed seal
272329,0,Environment and Climate Change Canada
273869,0,Ulrich Beck
275102,0,European Academy of Environmental Affairs
276504,0,Engineered wood
277289,0,Wind power
277750,0,Electric power industry
279350,0,Electric vehicle
286260,0,Precipitation
287928,0,Tonlé Sap
290527,0,Saudi Aramco
293001,0,Greening Earth Society
293115,0,Patrick Michaels
293270,0,Heat wave
294595,0,Information Council for the Environment
295445,0,Global cooling
297203,0,Blast furnace
298818,0,Effects of the car on societies
299368,0,Oil sands
302192,0,Drax Power Station
316798,0,"Temperature record of the last 2,000 years"
317311,0,El Niño–Southern Oscillation
320489,0,Gazprom
323964,0,Subsistence agriculture
324783,0,Earth Summit
325232,0,Greenwashing
326324,0,Scientific consensus on climate change
335840,0,Trawling
339245,0,Meramec River
342657,0,Seven generation sustainability
345714,0,Sallie Baliunas
345811,0,Michael E. Mann
348869,0,North Atlantic oscillation
351661,0,Carbon neutrality
352597,0,National Climate Assessment
360781,0,Fuel tax
367037,0,Bill McKibben
371406,0,Meadow
372608,0,Milankovitch cycles
372622,0,James Croll
374390,0,Anthropocene
375743,0,Environmental protection
377839,0,William Connolley
381399,0,Hydroelectricity
387369,0,Paleocene–Eocene Thermal Maximum
387604,0,Minister of Environment and Climate Change
393061,0,Speleothem
399912,0,Coral bleaching
407178,0,The Day After Tomorrow
407233,0,Global dimming
420881,0,California Air Resources Board
430456,0,Lewis Fry Richardson
433085,0,Atmospheric circulation
440246,0,Corporate average fuel economy
440819,0,Ed Markey
449934,0,Dairy farming
457430,0,Roy Spencer (meteorologist)
460517,0,Carl-Gustaf Rossby
465539,0,U.S. state and territory temperature extremes
465780,0,Illegal logging
467147,0,Radiative forcing
469470,0,Sylvia Earle
473241,0,John Mashey
476425,0,Vilhelm Bjerknes
477175,0,Radiant energy
478695,0,University Corporation for Atmospheric Research
478741,0,Met Office Hadley Centre
478760,0,Atmospheric Model Intercomparison Project
478774,0,World Climate Research Programme
478933,0,Energy conservation
484254,0,Köppen climate classification
484758,0,Léon Teisserenc de Bort
485323,0,Wladimir Köppen
487268,0,World Vision United States
491939,0,World Climate Report
491975,0,Robert Balling
495732,0,Union of Concerned Scientists
495795,0,Scientific Integrity in Policymaking
500353,0,Mario Molina
500385,0,Center for the Study of Carbon Dioxide and Global Change
522723,0,Solid fuel
533423,0,Solar water heating
533487,0,Energy development
536188,0,Phenology
541808,0,Paddy field
549072,0,National Climatic Data Center
551731,0,Electrification
555819,0,One-Tonne Challenge
557672,0,Last Glacial Period
560009,0,Arid
567653,0,Al Gore controversies
571355,0,Environmental Assessment Institute
587435,0,Earthjustice
588255,0,Green gross domestic product
592486,0,Refrigerant
608623,0,Ethanol fuel
619338,0,Michael K. Dorsey
623774,0,Environmental impact of electricity generation
624209,0,Induction heating
625665,0,Oregon Petition
626455,0,Alternative fuel
637256,0,Waterworld
644494,0,Climate Pledge Arena
646979,0,Bord na Móna
652195,0,Vehicle emission standard
652531,0,Photovoltaics
658141,0,Peridotite
663798,0,Paula Dobriansky
674489,0,No-till farming
676052,0,NZ Native Forests Restoration Trust
726292,0,Carol Browner
726413,0,Zero-emissions vehicle
727863,0,RMI (energy organization)
747328,0,Proxy (climate)
751467,0,Community Climate System Model
759256,14,Category:Climatologists
761974,0,Wave power
763555,0,Cogeneration
772868,0,Solar thermal collector
772973,0,Warren White (oceanographer)
776293,0,Rodney Frelinghuysen
780443,0,Craig D. Idso
780457,0,Sherwood B. Idso
786562,0,Polar easterlies
792685,0,Central heating
794226,0,Coalbed methane
797469,0,Hubert Lamb
797486,0,Climatic Research Unit
797870,0,John F. B. Mitchell
798288,14,Category:Climatology
798401,14,Category:Climate change
800152,0,Dansgaard–Oeschger event
800600,0,Willi Dansgaard
800686,0,Hans Oeschger
800837,0,Claude Lorius
800871,0,Jean Jouzel
808374,0,Space sunshade
810885,0,Sod
811163,0,Mac Thornberry
840147,0,Exhaust gas
843050,0,Net metering
846148,0,Plant-based diet
849508,0,Peak oil
855555,0,Hydrofluorocarbon
863704,0,Compressed natural gas
880231,0,John Christy
888264,0,Glossary of climate change
889672,0,Tropical disease
890916,0,James Hansen
899880,0,Sea surface temperature
901329,0,National Snow and Ice Data Center
905670,0,United Kingdom Climate Change Programme
906156,0,Hydrogen economy
928832,0,Forestation
929719,0,Willie Soon
933398,0,Tonne of oil equivalent
944638,0,Earth's energy budget
947217,0,Varve
947607,0,John Culberson
950191,0,Petroleum politics
952214,0,Coal-seam fire
954481,0,"Minister for the Environment, Climate and Communications"
961956,14,Category:Electric vehicles
962185,0,Michael C. Burgess
963313,0,Hemp
964077,0,Lamar Smith
972888,14,Category:Cattle
977700,0,Thomas R. Karl
983011,0,Kevin E. Trenberth
984957,0,Eamon Ryan
987608,0,West Antarctic Ice Sheet
991796,0,IPCC Summary for Policymakers
994228,0,Environmental racism
994887,0,Petroleum industry
996699,0,Green economy
1002744,0,Sustainable transport
1008844,0,Timeline of glaciation
1014025,0,Blue roof
1038088,14,Category:Planetary engineering
1038273,0,Planetary engineering
1038280,0,Climate engineering
1040193,0,Brian Hoskins
1049554,0,World Climate Conference
1049907,0,Energy Task Force
1054209,0,Green Belt Movement
1055835,0,Hydrogen fuel
1055890,0,Sustainable energy
1059310,14,Category:Environmentalists
1062235,0,"World Climate Change Conference, Moscow"
1070206,0,John Houghton (physicist)
1070321,0,Cooler Heads Coalition
1077414,0,Paul J. Crutzen
1098722,0,Byrd Polar and Climate Research Center
1116814,0,International Center for Tropical Agriculture
1116822,0,Center for International Forestry Research
1124141,0,ActionAid
1127684,0,Polar ice cap
1133108,0,Geoff Jenkins (climatologist)
1136211,0,Kyoto Now!
1138941,0,List of parties to the Kyoto Protocol
1142324,0,Climateprediction.net
1155923,0,Town and Country Planning Association
1159362,0,Growing degree-day
1164809,0,Greenland ice sheet
1169649,0,Hans von Storch
1175247,0,Description of the Medieval Warm Period and Little Ice Age in IPCC reports
1178938,0,Last Glacial Maximum
1185654,0,Bottom trawling
1198087,0,David Parker (climatologist)
1202395,0,Balfour Currie
1230447,0,Drew Shindell
1230470,0,Goddard Institute for Space Studies
1230631,0,Gavin Schmidt
1249127,0,FutureGen
1251508,0,Geothermal heating
1252844,0,Saltwater intrusion
1257960,0,State of Fear
1262978,0,IPCC Third Assessment Report
1263418,0,IPCC Second Assessment Report
1267194,0,Vicky Pope
1277773,0,John Michael Wallace
1277926,0,Pacific decadal oscillation
1282384,0,Roger A. Pielke Jr.
1282400,0,Roger A. Pielke
1288669,0,Singularity (climate)
1303651,0,Simon Tett
1313566,0,Rosneft
1316305,0,Official development assistance
1317830,0,Climate variability
1331621,0,Thomas Sterry Hunt
1347560,0,Nature Detectives
1363718,0,John Williams (water scientist)
1365349,0,MM5 (weather model)
1369239,0,Dendroclimatology
1374344,0,Mesothermal
1374399,0,Microthermal
1374427,0,Megathermal
1378862,0,Electricity sector in India
1380898,0,Coal gasification
1384661,0,HIRLAM
1391016,0,Cellulosic ethanol
1393461,0,Pollen zone
1393600,0,Atsumu Ohmura
1393641,0,Bølling oscillation
1405013,0,Wallace Smith Broecker
1406910,0,World Conference on Disaster Risk Reduction
1414876,0,Substitute natural gas
1417710,0,Energy policy
1427251,0,Alkalinity
1430539,0,Artificial photosynthesis
1433553,0,Goyder's Line
1434618,0,Propane refrigeration
1436198,0,Land degradation
1441581,0,Keeling Curve
1446490,0,Temperature gradient
1449483,0,Orbital forcing
1468481,0,Alcinda Abreu
1483593,0,Resource Management Act 1991
1487579,14,Category:Climate forcing
1488463,0,Agroforestry
1491805,0,Gas stove
1505330,0,Carbon Trust
1518715,0,Agricultural emissions research levy
1531457,0,Resource curse
1532300,0,Kenneth Hare
1533475,0,South Pacific convergence zone
1539609,0,Non-methane volatile organic compound
1558869,0,Global temperature record
1559907,0,The Hype About Hydrogen
1560443,0,Fossil fuel power station
1561278,0,Richard A. Muller
1564008,0,Holocene climatic optimum
1568930,0,HadCM3
1569692,0,Western Hemisphere Warm Pool
1579034,0,Coupled Model Intercomparison Project
1595817,0,Energy demand management
1608478,0,Heavy industry
1618066,0,"Nicholas Stern, Baron Stern of Brentford"
1619939,0,Environmental Modeling Center
1624157,0,Climate commitment
1638070,0,Infrared window
1653053,0,Chicago Climate Exchange
1659790,0,Anthropogenic hazard
1661475,0,Green computing
1664236,0,Jonathan M. Gregory
1664415,0,John A. Church
1669741,0,District heating
1681240,0,GLOBE Program
1691321,0,American Petroleum Institute
1693139,0,Carbon credit
1706565,0,Energy intensity
1706783,0,Edward Norton Lorenz
1707053,0,Habitat destruction
1709106,0,C4MIP
1713537,0,Bioenergy
1716015,0,List of countries by carbon dioxide emissions
1730840,0,IPCC list of greenhouse gases
1746964,0,"Ministry of the Environment, Conservation and Parks"
1758281,0,List of countries by carbon dioxide emissions per capita
1761921,0,Polar High
1765281,0,Climate sensitivity
1769652,0,Future-proof
1777495,0,Global change
1784357,0,Forty Signs of Rain
1784516,0,Emission intensity
1790153,0,Power Shift (conference)
1790574,0,Restoration ecology
1808883,0,Joe Farman
1809685,0,Klaus Hasselmann
1826969,0,International Institute for Applied Systems Analysis
1855357,0,Ecosystem service
1862467,0,Bełchatów Power Station
1866529,0,Low-energy house
1866629,0,World Glacier Monitoring Service
1868427,0,Committee for a Constructive Tomorrow
1882294,0,David Pearce (economist)
1893048,0,Mainau Declaration
1900086,0,Tidal marsh
1903368,0,Tim Flannery
1905105,0,Flexible-fuel vehicle
1909720,0,Icelandic Low
1910981,0,Marine protected area
1914976,0,Our Common Future
1916444,0,Special Report on Emissions Scenarios
1918930,0,Peter Gleick
1919614,0,Gas leak
1924100,0,Fire ecology
1925126,0,Amine gas treating
1945062,0,Alex Steffen
1945687,0,Stefan Rahmstorf
1954274,14,Category:Climate change organizations
1956416,0,Renewable Energy Certificate (United States)
1958790,0,Landfill gas
1968338,0,Afforestation
1973564,0,Stadial
1978077,0,Paul Hudson
1978817,0,Coal liquefaction
1986491,0,Disaster area
1997706,0,British Coal
2014417,0,Clear-air turbulence
2016744,0,World Scientists' Warning to Humanity
2023824,0,National Iranian Oil Company
2025438,0,Climate ensemble
2027111,0,Nuclear summer
2039538,0,ECMWF re-analysis
2043467,0,Heat recovery steam generator
2050671,0,Managed retreat
2053440,0,Oil reserves
2076586,0,Rudolf Geiger
2078890,0,Alliance of Small Island States
2080106,0,Office of Oceanic and Atmospheric Research
2081892,0,Office of Global Programs
2082324,0,Arctic Research Office
2086799,0,Aeronomy Laboratory
2086973,0,Atlantic Oceanographic and Meteorological Laboratory
2091665,0,European Federation for Transport and Environment
2093614,0,Air Resources Laboratory
2093719,0,Climate Monitoring and Diagnostics Laboratory
2095277,0,Severn Cullis-Suzuki
2095798,0,Great Lakes Environmental Research Laboratory
2096058,0,Pacific Marine Environmental Laboratory
2099511,0,Charles David Keeling
2107907,0,Cooperative Institute for Climate Applications and Research
2119174,0,Effects of climate change
2119179,0,Climate change mitigation
2128281,0,International environmental agreement
2152749,0,Clean Development Mechanism
2155310,0,Common ethanol fuel mixtures
2166164,0,The Long Emergency
2170613,0,Synthetic fuel
2174002,0,Keith Browning
2180406,0,Kerry Emanuel
2181863,0,European Climate Exchange
2186686,0,Albrecht Penck
2191950,0,EdGCM
2216504,0,Ted Halstead
2221532,0,American Coalition for Clean Coal Electricity
2240837,0,Abrupt climate change
2251904,0,The Climate Group
2260887,0,Politics of climate change
2263904,0,Carbon footprint
2282048,0,Parametrization (climate modeling)
2283651,0,National Center for Public Policy Research
2289670,0,Oregon Institute of Science and Medicine
2289787,0,Marine isotope stages
2296257,0,Roger Revelle
2307244,0,Urban climate
2322153,0,Carbon offsets and credits
2326866,0,Asia-Pacific Partnership on Clean Development and Climate
2343299,0,Peter Wadhams
2347885,0,Myles Allen
2348957,0,European Climate Change Programme
2348980,0,European Union Emissions Trading System
2351567,0,Global Methane Initiative
2395100,0,Pluvial
2396856,0,Thermal optimum
2407609,0,Callendar effect
2423894,0,Coal pollution mitigation
2432317,0,Heartland Institute
2447300,0,Heinrich Wilhelm Dove
2451045,0,Ensemble forecasting
2466187,0,Cold chain
2495757,0,Gas flare
2514283,0,International Day of Peace
2514431,0,Climate Audit
2527340,0,TEX86
2527382,0,Paleothermometer
2531433,0,Regional Greenhouse Gas Initiative
2556974,14,Category:Paleoclimatology
2593984,0,Stop Climate Chaos
2599187,0,Earth System Modeling Framework
2614106,14,Category:Defunct climate change organizations
2614674,0,Global Climate and Energy Project
2615301,0,Center for Climate and Energy Solutions
2615571,0,Business action on climate change
2621111,0,Early warning system
2623949,0,Iben Browning
2626574,0,Hazelwood Power Station
2638030,14,Category:Landslides
2639544,0,List of least carbon efficient power stations
2646197,0,China National Petroleum Corporation
2649165,14,Category:Droughts
2649523,0,James Annan
2649866,0,Zbigniew Jaworowski
2649925,0,Sonja Boehmer-Christiansen
2649947,0,Economic analysis of climate change
2671882,14,Category:Electric vehicles introduced in the 20th century
2679315,0,David J. C. MacKay
2702087,0,Beds Are Burning
2703291,0,Global Change Research Act of 1990
2719041,0,Melt pond
2721694,0,False balance
2721864,0,Mark Cane
2724032,0,Coal town
2725411,0,Solar Radiation and Climate Experiment
2763401,0,Doomer
2765707,0,Smallholding
2780079,0,European Youth For Action
2780146,0,European emission standards
2784618,0,"Julian Hunt, Baron Hunt of Chesterton"
2794507,0,Iris hypothesis
2795155,0,Sherry Rehman
2801560,0,Ocean acidification
2803548,0,Urban climatology
2815108,0,Carbon capture
2815865,0,Thwaites Glacier
2833267,0,Coastal management
2838094,0,National Oceanography Centre
2846227,0,Arctic Climate Impact Assessment
2853291,0,Direct reduced iron
2858505,0,Environmental vegetarianism
2876919,0,Broad Spectrum Revolution
2879014,0,Earth System Research Laboratories
2891007,0,Ann Henderson-Sellers
2891209,0,David Carson (climatologist)
2913315,0,Global Atmosphere Watch
2924475,0,Joke Waller-Hunter
2935251,0,Energy industry
2938139,0,The Green Initiative
2986056,0,Earth's radiation balance
2996055,0,Anti-nuclear movement
3010833,0,Negawatt market
3039012,0,Flood wall
3043713,0,Leaf protein concentrate
3088777,0,"Ministry of Climate, Energy and Utilities (Denmark)"
3093634,0,Global Forecast System
3093747,0,Oxygen isotope ratio cycle
3133405,0,Flow battery
3163081,0,Woodwell Climate Research Center
3178571,0,Reflective surfaces (climate engineering)
3183005,0,Blytt–Sernander system
3194691,0,Older Dryas
3206764,0,Electrolysis of water
3207104,0,Green development
3209520,0,Oldest Dryas
3210893,0,Emission reduction unit
3225111,0,Bølling–Allerød warming
3239174,0,Environmental standard
3243884,0,Environmental accounting
3298506,0,Fifty Degrees Below
3301316,0,The Earth Institute
3306963,100,Portal:Earth sciences
3310645,0,Marrakech Accords
3399244,0,Ethanol fuel in Brazil
3420838,0,Enteric fermentation
3427007,0,Office of Environment & Heritage
3432409,0,North American Carbon Program
3445103,0,Campaign against Climate Change
3459279,0,Runaway greenhouse effect
3499759,0,Firm service
3507365,0,Solar panel
3515855,0,Canadian Centre for Climate Modelling and Analysis
3542988,0,Petroleum industry in Nigeria
3552547,0,Walter Munk
3561640,0,Transient climate simulation
3657316,10,Template:Climate change
3658875,0,Bill McGuire (volcanologist)
3679268,0,Carbon capture and storage
3692074,0,Mass automobility
3776242,0,Detlef Quadfasel
3784614,0,Flexible Mechanisms
3785881,0,Sustainable community
3797013,0,Black carbon
3828632,0,Africa Fighting Malaria
3830833,0,Joint Implementation
3842074,0,Indian rivers interlinking project
3872553,0,Broad spectrum revolution
3891082,0,Joint Global Change Research Institute
3895831,0,Ecological debt
3907887,0,Johannesburg Renewable Energy Coalition
3925035,0,"Department of the Environment, Climate and Communications"
4014614,0,National Center for Atmospheric Research
4024695,0,"Land use, land-use change, and forestry"
4036973,0,Sustainable tourism
4050509,0,Nicholas Shackleton
4069412,0,BBC Climate Change Experiment
4071088,0,Petroleum industry in Canada
4072900,0,Raymond Pierrehumbert
4088601,0,Environmental migrant
4097799,0,An Inconvenient Truth
4109488,0,Urban forest
4127383,0,Atlantic (period)
4132583,0,International Society of Biometeorology
4144541,0,Lonnie Thompson
4145551,0,Iron fertilization
4198601,0,Carbon Dioxide Information Analysis Center
4209781,0,Multi-level governance
4211531,0,Zero-energy building
4240819,0,Chemostratigraphy
4242197,0,Raymond S. Bradley
4242410,0,Phil Jones (climatologist)
4243210,0,IPCC Fourth Assessment Report
4243296,0,Environmental issues in Haiti
4243358,0,Environmental issues in Iran
4243385,0,Environmental issues in the Philippines
4243426,0,Environmental issues in Thailand
4271725,0,Coal India
4277518,0,Condensing boiler
4287778,0,Hydrometeorology
4299233,0,Alkenone
4340183,0,AP 42 Compilation of Air Pollutant Emission Factors
4370387,0,Regional Clean Air Incentives Market
4370458,0,Ogunlade Davidson
4381419,0,Enhanced oil recovery
4417589,14,Category:Ice ages
4420711,0,CLaMS
4426385,0,Aridity index
4430240,0,Greenpeace Aotearoa New Zealand
4432542,0,Renewable heat
4472483,0,Peterson Toscano
4481763,0,Renewable natural gas
4492335,0,Seagrass meadow
4494959,0,California Coastal Commission
4499414,0,Social discount rate
4502946,0,Harry Wexler
4535852,0,Carbon sequestration
4564818,0,Waste-to-energy
4590410,0,Contraction and Convergence
4596815,0,Energy Charter Treaty
4599275,0,Human overpopulation
4605010,0,Congolian rainforests
4607152,0,Climate change adaptation
4608390,0,Home construction
4609449,0,Pico Humboldt
4612098,0,Carbonfund.org
4617935,0,Shutdown of thermohaline circulation
4635545,0,Paleolimnology
4661416,0,REN21
4682253,0,Orbiting Carbon Observatory
4683905,0,Metronome (public artwork)
4707633,0,Ocean stratification
4797449,0,Ocean fertilization
4804597,0,Retreat of glaciers since 1850
4835266,0,Clean technology
4857685,0,Seasonal Attribution Project
4866890,0,Low-emission zone
4884217,0,Clean coal technology
4933578,0,Size of Wales
4946715,0,Bret Stephens
4949083,0,Cost competitiveness of fuel sources
4972467,0,State of the Climate
5004886,0,Climate Change Science Program
5042706,0,Al Gore
5042951,0,Climate change
5058566,0,Christopher McKay
5069503,0,Clathrate gun hypothesis
5074354,0,Natural gas prices
5076347,0,Energy and Environmental Security Initiative
5094865,0,Global Climate Observing System
5097491,0,Atlantic meridional overturning circulation
5109669,0,Ship tracks
5121209,0,Eco-sufficiency
5162005,0,Jan Veizer
5163454,0,Waste heat
5188309,0,Energy efficiency in British housing
5194620,0,Joseph Smagorinsky
5209207,0,Joe Romm
5213619,0,Energy conservation in the United Kingdom
5251103,0,Sindicatum
5255231,14,Category:Numerical climate and weather models
5297698,0,Meltwater pulse 1A
5298371,0,Δ18O
5324785,0,Helmut Landsberg
5327777,0,Energy policy of the United Kingdom
5330316,0,Stephen Leatherman
5354105,0,Hockey stick graph (global temperature)
5355180,0,ICLEI
5362537,0,Carbon finance
5362623,0,Carbon accounting
5379719,0,Hydrogen production
5403084,0,"Climate: Long range Investigation, Mapping, and Prediction"
5419209,0,Green conventions
5429320,0,"Department of Industry, Innovation, Climate Change, Science, Research and Tertiary Education"
5440890,0,Sierra Nevada Alliance
5444216,0,Atmospheric model
5448313,0,Carbon cycle re-balancing
5466947,0,Gordon Manley
5534701,0,Nuclear power by country
5560489,0,Retrofitting
5565588,0,Climate system
5577760,0,Rafael L. Bras
5597613,0,Directional-hemispherical reflectance
5648629,14,Category:Climate change assessment and attribution
5665192,0,Energy crop
5673714,0,Carbon emissions
5720087,0,Massachusetts v. EPA
5747544,0,Jim MacNeill
5810940,0,Christopher Landsea
5837003,0,Solar air conditioning
5837338,0,The Revenge of Gaia
5847309,0,Florida mangroves
5859845,0,New South Wales Greenhouse Gas Abatement Scheme
5869611,0,Personal carbon trading
5917566,0,Green investment scheme
5918856,0,Forests and the European Union Resource Network
5935618,0,Taken by Storm
6025205,0,Groundwater recharge
6029823,0,Climate Stewardship Acts
6038092,0,Naomi Oreskes
6057116,0,David Legates
6110795,0,Passive cooling
6112783,0,Climate Change and Sustainable Energy Act 2006
6127783,0,Climate cycle
6168349,0,Electric energy consumption
6187405,0,Ministry of Environment (Romania)
6187453,0,Upper-atmospheric models
6187740,0,Renewable fuels
6227166,0,C40 Cities Climate Leadership Group
6284425,0,Climate of Peru
6298225,0,GME of Deutscher Wetterdienst
6309805,0,Typical meteorological year
6339515,0,Jane Lubchenco
6339568,0,Michael Oppenheimer
6358896,0,Electric aircraft
6378876,0,ADMS 3
6389531,0,Environmental effects of aviation
6395263,0,Oil well fire
6396233,0,Mars regional atmospheric modeling system
6430837,0,Heat pollution
6443299,0,"Ministry of Environment, Forest and Climate Change"
6457329,0,Construction waste
6530825,0,Jerry Taylor
6557124,0,Lennart Bengtsson
6559323,0,Tradable Energy Quotas
6569705,0,AERMOD
6688567,0,Weather Research and Forecasting Model
6763452,0,Western Fuels Association
6779679,0,Camp for Climate Action
6782441,0,World War Zero
6790685,0,TerraPass
6837125,0,Resources for the Future
6843063,0,Jerry D. Mahlman
6849736,0,Free-air concentration enrichment
6852886,0,John Coleman (meteorologist)
6864370,0,Outgoing longwave radiation
6869267,0,Avondale Landfill
6870324,0,Secunda CTL
6871713,0,Hybrid power
6884689,0,Stop Climate Chaos Scotland
6900318,0,Building insulation
6904902,0,Emission inventory
6905345,0,Greenhouse gas inventory
6918190,0,Climate of Puerto Rico
6935728,0,Équiterre
6974596,0,Land cover
6982876,0,International Union for Quaternary Research
6984859,0,Temperature record since 1880
7004443,0,Arctic haze
7041469,0,Biochar
7053991,0,Energy Technologies Institute
7112124,0,Making Sweden an Oil-Free Society
7135697,0,Copernicus Programme
7186486,0,Global Warming Solutions Act of 2006
7221088,0,Air conditioning
7240939,0,Cement kiln
7247215,0,Meltwater
7248788,0,Heidi Cullen
7265206,0,Ministry of the Environment and the Fight Against Climate Change
7301423,0,Low-carbon building
7318603,0,Ecologically sustainable development
7343746,0,Adaptive capacity
7383878,0,Overdrafting
7397481,0,Carbon dioxide flooding
7466537,0,Friends of Science
7502597,0,Richard Cizik
7544187,14,Category:Climate by country
7547082,0,Community Energy Scotland
7559746,0,Drunken trees
7564445,0,Are We Changing Planet Earth?
7637953,0,Downscaling
7694290,0,Stern Review
7708669,0,Energy Cities
7744271,0,Nuclear Information and Resource Service
7757190,0,Food loss and waste
7760240,0,Carbon Disclosure Project
7809744,0,William Ruddiman
7810525,0,ACEA agreement
7853805,0,Social trap
7861753,0,Australian Greenhouse Office
7884416,0,Cap and Share
7906908,0,Biomass (energy)
7930265,0,Superstorm
7939170,0,Climate ethics
7940460,0,Global Change Master Directory
7963444,0,Steven Chu
7983053,0,Azores High
7985819,0,Gilbert Plass
7994952,0,Syukuro Manabe
8020639,0,Global Historical Climatology Network
8032596,0,Gasoline and diesel usage and pricing
8039889,0,Marshall Steam Station
8082027,0,Extraction of petroleum
8149891,0,James M. Russell
8184340,0,Patricia Espinosa
8199814,0,Wretched of the Earth
8202316,0,Miscanthus × giganteus
8271169,0,Guy Stewart Callendar
8282374,0,Tropical cyclone
8328664,0,Peter Clift
8340209,0,Alternative fuel vehicle
8376552,0,"Plows, Plagues and Petroleum"
8378445,0,Australian Coal Association
