pageid,ns,title
40943939,0,Bat SARS-like coronavirus WIV1
41482511,0,Christophe (singer)
41658835,0,Charlotte Figi
41680773,0,Stanley Chera
41723758,0,Lance Carson
42058849,0,Michael Wakelam
42694003,0,Public health emergency of international concern
43012238,0,Young Living
43327279,10,Template:Infobox outbreak
43835769,0,Bennie G. Adkins
44231293,0,Mirga Gražinytė-Tyla
44239614,0,Anne Rimoin
45171569,0,Artur Pawlowski
45294860,0,Chen Yixin
46603496,0,Jair Bolsonaro
47041329,0,Augustin de Romanet de Beaune
47428161,0,Concerns and controversies at the 2022 Winter Olympics
47700292,0,Gillian Leng
47807279,0,Life Care Centers of America
47926220,0,2020 Croatian parliamentary election
48080633,0,Arcturus Therapeutics
48674185,0,East StratCom Task Force
49010967,0,Paul Cosford
49046499,0,Howard Schoenfield
49121140,0,Siobhán Killeen
49238958,0,ULT freezer
50247272,0,Wang Xiaodong (born 1960)
50501468,0,Steven Mnuchin
50583945,0,Orlando McDaniel
50597152,0,Deborah Birx
51522180,0,Coalition for Epidemic Preparedness Innovations
51564168,0,MS Manara
51868661,0,Jerome Adams
52322492,0,Remdesivir
52382885,0,Juan Cotino
52419671,0,Seema Verma
53026012,0,Hashem Bathaie Golpayegani
53211043,0,Mask Off
53404555,0,WrestleMania 36
53621256,0,2020 Polish presidential election
53842028,0,Julia Gog
53896730,0,Roberto Speranza
53985694,0,Mishik Kazaryan
53989111,0,Matthew Pottinger
54025249,0,Italo De Zan
54412226,0,Theresa Tam
54503723,0,Concerns and controversies at the 2020 Summer Olympics
54683171,0,Patrick Vallance
55319229,0,Post-exertional malaise
55406533,0,H2 inhibitor
55695301,0,Ciara Kelly
56270955,0,Céline Gounder
56636322,0,Anwarul Kabir Talukdar
56690627,0,Derrick Rossi
56703267,0,Paul E. Marik
56725298,0,Stephen Biegun
56809815,0,Disease X
57086465,0,2020 Dominican Republic general election
57326934,0,Max Rose
57957921,0,James Jemut Masing
57967238,0,Cyril Lawrence
58052469,0,Kelvin Droegemeier
58521501,0,Bernie Juskiewicz
58571353,0,Ventec Life Systems
58754717,0,Jim Cross (ice hockey coach)
58835489,0,Chip Roy
58852261,0,Generation Alpha
59572593,0,Eurovision Song Contest 2020
59785809,0,SARSr-CoV
59871200,0,Shi Zhengli
60041516,0,National Health Commission
60314504,0,Nick Mourouzis
60417582,0,Celebrity Flora
60483544,0,2020 Stanley Cup playoffs
60740086,0,Grey's Anatomy (season 17)
60937195,0,Ramesh Mehta (paediatrician)
60983932,0,Chris Whitty
61197341,0,Magnus Heunicke
61232974,0,Korea Disease Control and Prevention Agency
61236132,0,Eurovision Young Musicians 2022
61289371,0,Mila (research institute)
61330950,0,2020 Leagues Cup
61337827,0,Daniel R. Lucey
61379081,0,2020 Major League Baseball season
61386596,0,Devi Sridhar
61398269,0,Muhammed Babandede
61589182,0,Roland Wiesendanger
61692527,0,Luciana Lamorgese
61812930,0,2020 W Series
61845125,0,2019 Military World Games
61929576,0,EvergreenHealth
62002686,0,Isaac Robinson (politician)
62005267,0,William B. Helmreich
62193151,0,2020 Iranian legislative election
62257865,0,UFC on ESPN: Overeem vs. Harris
62286545,0,Rachel Tanner
62567123,0,Dance Again (Selena Gomez song)
62571636,0,Neale Hanvey
62632873,0,Alexander Tschugguel
62717120,0,Sandra Zampa
62750956,0,COVID-19 pandemic
62786585,0,SARS-CoV-2
62820798,0,FluTrackers
62831544,0,Pete Gaynor
62842210,0,Wuhan coronavirus
62874425,0,Chinese coronavirus
62883290,0,Coronavirus diseases
62893341,0,Wuhan flu
62894928,0,Li Lanjuan
62902783,0,Chen Wei (medical scientist)
62906880,0,Huanan Seafood Wholesale Market
62907297,0,Timeline of the COVID-19 pandemic in January 2020
62907551,0,COVID-19 lockdown in China
62918424,0,Huoshenshan Hospital
62922971,10,Template:Editnotices/Page/COVID-19 pandemic
62933148,0,Wuhan Institute of Virology
62938755,0,COVID-19 pandemic by country and territory
62939916,14,Category:COVID-19 pandemic
62952907,0,Leishenshan Hospital
62954814,10,Template:COVID-19 pandemic data
62954907,10,Template:COVID-19 pandemic data/Mainland China medical cases chart
62955571,10,Template:COVID-19 pandemic lockdowns in mainland China
62956155,10,Template:COVID-19 pandemic
62971996,10,Template:COVID-19 pandemic data/Mainland China medical cases
62972050,10,Template:COVID-19 pandemic data/China medical cases by province
62976235,0,Dabie Mountain Regional Medical Centre
62988240,0,Jeon Kwang-hoon
62990839,0,2019-ncov
62991860,10,Template:Coronavirus characteristics comparison
63004998,0,COVID-19 pandemic in mainland China
63005351,0,Xenophobia and racism related to the COVID-19 pandemic
63011034,10,Template:COVID-19 pandemic data/Symptoms
63011128,10,Template:COVID-19 pandemic data/Treatments given
63025280,0,Evacuations related to the COVID-19 pandemic
63025456,0,Social impact of the COVID-19 pandemic
63030231,0,COVID-19
63039926,0,COVID-19 pandemic cases
63040806,0,Li Wenliang
63046560,10,Template:COVID-19 pandemic data/Philippines medical cases
63048156,0,Central Hospital of Wuhan
63052506,0,Timeline of the COVID-19 pandemic in February 2020
63052519,14,Category:COVID-19 pandemic templates
63052529,0,Timeline of the COVID-19 pandemic
63052532,0,Chen Qiushi
63055098,0,COVID-19 misinformation
63073445,0,Neil Ferguson (epidemiologist)
63076863,0,Sarah Gilbert
63084670,0,COVID–19
63084941,0,Covid-2019
63086485,0,UFC on ESPN: Poirier vs. Hooker
63100955,0,COVID 19
63109943,0,Health security
63113319,0,COVID-19 pandemic in Singapore
63113361,0,COVID-19 pandemic in the Philippines
63123318,0,Duan Zhengcheng
63124756,10,Template:COVID-19 pandemic data/Singapore untraced cases
63126775,10,Template:COVID-19 pandemic data/Japan medical cases
63133473,0,Wuhan National Biosafety Laboratory
63133489,10,Template:COVID-19 pandemic data/Diamond Princess medical cases
63136199,0,COVID-19 pandemic in Malaysia
63136305,0,COVID-19 pandemic in Thailand
63136490,0,COVID-19 pandemic in the United States
63136604,0,COVID-19 pandemic in Vietnam
63142870,0,COVID-19 pandemic on cruise ships
63152176,14,Category:COVID-19 pandemic by country
63160588,0,UFC 251
63161776,0,COVID-19 pandemic in South Korea
63161938,10,Template:COVID-19 pandemic data/South Korea medical cases
63162032,0,SARS-2
63170193,0,COVID-19 pandemic in Japan
63175924,0,COVID-19 pandemic in Iran
63176144,10,Template:2019–20 coronavirus pandemic data/China medical cases chart/Custom bar stacked
63178596,0,COVID-19 pandemic in Hong Kong
63178636,0,COVID-19 pandemic in Taiwan
63178675,0,COVID-19 pandemic in Macau
63180672,10,Template:COVID-19 pandemic data/Italy medical cases
63181042,0,COVID-19 pandemic in Europe
63182945,0,COVID-19 pandemic in Italy
63183247,0,COVID-19 pandemic in Asia
63187784,14,Category:Hospitals established for the COVID-19 pandemic
63187843,14,Category:Quarantine facilities designated for the COVID-19 pandemic
63188392,14,Category:Timelines of the COVID-19 pandemic
63188581,14,Category:COVID-19 pandemic by continent
63189627,0,Controversies related to 2019–20 coronavirus outbreak
63191078,0,Let's Dance 2020
63191420,10,Template:COVID-19 pandemic data/Iran medical cases
63196010,0,COVID-19 pandemic in the United Arab Emirates
63204759,0,COVID-19 testing
63214876,0,2020–2022 Malaysian political crisis
63215769,0,COVID-19 pandemic in Greece
63216082,0,Timeline of the COVID-19 pandemic in March 2020
63216548,0,COVID-19 pandemic in Canada
63216759,0,COVID-19 pandemic in France
63216845,0,COVID-19 pandemic in Germany
63216936,0,COVID-19 pandemic in the United Kingdom
63217011,0,COVID-19 pandemic in Spain
63217081,0,COVID-19 pandemic in Australia
63217137,14,Category:Deaths from the COVID-19 pandemic
63222790,14,Category:COVID-19 pandemic in Asia
63222919,14,Category:COVID-19 pandemic in Europe
63222926,14,Category:COVID-19 pandemic in North America
63222928,0,COVID-19 pandemic in North America
63223451,10,Template:COVID-19 pandemic data/Italy medical cases chart
63228767,10,Template:COVID-19 pandemic data/France medical cases
63228857,0,COVID-19 pandemic in Brazil
63231606,10,Template:COVID-19 pandemic data/South Korea medical cases chart
63233091,10,Template:COVID-19 pandemic data/Germany medical cases
63233301,0,Coronavirus in Spain
63239190,0,COVID-19 pandemic in Sweden
63239194,10,Template:COVID-19 pandemic data/Sweden medical cases
63241849,0,COVID-19 pandemic in Switzerland
63242384,10,Template:COVID-19 pandemic data/United States medical cases
63243000,0,COVID-19 pandemic in Kuwait
63243366,10,Template:COVID-19 pandemic data/Japan medical cases chart
63243593,10,Template:COVID-19 pandemic data/Poland medical cases
63243638,0,COVID-19 pandemic in Poland
63244125,0,COVID-19 pandemic in the Netherlands
63244238,0,Global Health Security Index
63244299,0,COVID-19 pandemic in Austria
63247062,0,COVID-19 pandemic in Ecuador
63247742,10,Template:COVID-19 pandemic data/United Kingdom medical cases
63248531,4,Wikipedia:WikiProject Tree of Life/Newsletter/012
63251236,10,Template:COVID-19 pandemic data/Switzerland medical cases
63254590,2,User:Yug/Template:Coronavirus data/Patients characteristics2
63254676,0,COVID-19 pandemic in Finland
63254714,0,COVID-19 pandemic in Norway
63254945,14,Category:COVID-19 pandemic in South America
63255772,0,COVID-19 pandemic in Croatia
63256306,10,Template:COVID-19 pandemic data/United Arab Emirates medical cases
63256719,0,"Catch It, Bin It, Kill It"
63258096,0,COVID-19 pandemic in the Dominican Republic
63258130,10,Template:COVID-19 pandemic data/Norway medical cases
63258182,0,List of early cases of COVID-19 in the United States
63258645,0,Stop Mandatory Vaccination
63260687,0,COVID-19 pandemic in Bahrain
63260725,0,COVID-19 pandemic in Mexico
63261355,0,COVID-19 pandemic in Indonesia
63261378,10,Template:COVID-19 pandemic data/Thailand medical cases
63262215,0,COVID-19 pandemic in Portugal
63262527,0,COVID-19 pandemic in Denmark
63262573,0,COVID-19 pandemic in Belgium
63262736,0,Travel during the COVID-19 pandemic
63262762,0,COVID-19 pandemic in Andorra
63263950,0,COVID-19 pandemic in Russia
63264158,0,COVID-19 pandemic in the Republic of Ireland
63265538,0,COVID-19 pandemic in India
63267128,10,Template:COVID-19 pandemic data/United States medical cases chart
63271973,10,Template:Cases in the COVID-19 pandemic
63272036,0,COVID-19 pandemic in Iceland
63272041,0,COVID-19 pandemic in San Marino
63272127,10,Template:COVID-19 pandemic data/Iran medical cases chart
63272141,0,COVID-19 pandemic in Israel
63272144,0,COVID-19 pandemic in Lebanon
63272798,0,COVID-19 pandemic in Romania
63272856,0,COVID-19 pandemic in the Czech Republic
63272917,0,COVID-19 pandemic in Sri Lanka
63273278,0,COVID-19 pandemic in Saudi Arabia
63273458,0,COVID-19 pandemic in Bosnia and Herzegovina
63274628,0,COVID-19 pandemic in Argentina
63274783,0,Timeline of the COVID-19 pandemic in April 2020
63274921,0,Public Health (Control of Disease) Act 1984
63274946,0,The Health Protection (Coronavirus) Regulations 2020
63275252,10,Template:COVID-19 pandemic data/United Kingdom medical cases chart
63275617,0,COVID-19 pandemic in Chile
63276898,0,COVID-19 pandemic in Belarus
63277046,0,COVID-19 pandemic in Ukraine
63277599,0,COVID-19 pandemic in New Zealand
63277990,0,COVID-19 pandemic in Estonia
63280866,0,COVID-19 pandemic in Pakistan
63281706,0,COVID-19 pandemic in Latvia
63281785,0,COVID-19 pandemic in Liechtenstein
63281815,0,COVID-19 pandemic in Lithuania
63281894,0,COVID-19 pandemic in Luxembourg
63281920,0,COVID-19 pandemic in Monaco
63281933,0,COVID-19 pandemic in North Macedonia
63283461,0,COVID-19 pandemic in Hungary
63285738,0,COVID-19 pandemic in Egypt
63286123,0,Fernando Simón
63287865,0,2020–21 NHL season
63289309,0,COVID-19 pandemic in Algeria
63289317,14,Category:COVID-19 pandemic in Africa
63289321,0,COVID-19 pandemic in Africa
63292665,14,Category:COVID-19 pandemic in China
63293320,0,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020"
63293886,0,COVID-19 pandemic in Georgia (country)
63294323,14,Category:COVID-19 pandemic in Oceania
63294337,0,COVID-19 pandemic in Oceania
63297336,10,Template:COVID-19 pandemic data/Canada medical cases
63299295,10,Template:COVID-19 pandemic data/Iceland medical cases chart
63299322,0,COVID-19 pandemic in the State of Palestine
63299502,0,COVID-19 pandemic in Serbia
63299650,0,COVID-19 pandemic in Vatican City
63299729,0,COVID-19 pandemic in Cameroon
63300227,14,Category:COVID-19 pandemic in mainland China
63300608,0,COVID-19 pandemic in Slovakia
63300653,0,COVID-19 pandemic in South Africa
63300750,0,COVID-19 pandemic in Slovenia
63300912,0,COVID-19 pandemic in Morocco
63301563,10,Template:COVID-19 pandemic data/Romania medical cases
63301757,0,COVID-19 pandemic in Washington (state)
63301761,0,COVID-19 pandemic in California
63301932,0,COVID-19 pandemic in New York (state)
63303421,10,Template:COVID-19 testing by country
63304086,0,Richard Hatchett
63304474,0,COVID-19 pandemic in Colombia
63305421,10,Template:COVID-19 pandemic data/Germany medical cases chart
63307341,14,Category:Organizations associated with the COVID-19 pandemic
63307527,10,Template:COVID-19 pandemic data/France medical cases chart
63308910,10,Template:COVID-19 pandemic data/Iceland medical cases
63310591,10,Template:COVID-19 pandemic data/Republic of Ireland medical cases chart
63313047,0,COVID-19 pandemic in Moldova
63313195,0,COVID-19 pandemic in Togo
63313356,10,Template:COVID-19 pandemic data/Poland medical cases chart
63313736,0,Collapse of Xinjia Express Hotel
63315550,10,Template:COVID-19 pandemic data/Belgium medical cases
63315611,0,COVID-19 pandemic in Bulgaria
63316213,0,COVID-19 pandemic in Malta
63316879,0,COVID-19 lockdowns in Italy
63317314,14,Category:COVID-19 pandemic in Italy
63317401,10,Template:COVID-19 pandemic data/Spain medical cases chart
63319438,0,COVID-19 vaccine
63320221,0,Sally Bloomfield (physician)
63320789,0,Coronavirus (disambiguation)
63320921,10,Template:COVID-19 pandemic data/Poland medical cases by voivodeship
63322537,0,COVID-19 pandemic in Albania
63322662,0,Syra Madad
63325162,10,Template:COVID-19 pandemic data/Slovakia medical cases chart
63325727,0,COVID-19 pandemic in Hubei
63326164,0,COVID-19 pandemic in Kerala
63327327,0,COVID-19 pandemic in Cyprus
63327574,0,COVID-19 pandemic in Armenia
63327604,0,COVID-19 pandemic in Azerbaijan
63327841,0,COVID-19 pandemic in Brunei
63327935,10,Template:COVID-19 pandemic data/Russia medical cases
63329148,0,Impact of the COVID-19 pandemic on cinema
63329395,0,COVID-19 pandemic in Guernsey
63331180,10,Template:Did you know nominations/Impact of the 2019–20 coronavirus outbreak on cinema
63332056,0,COVID-19 pandemic in Mongolia
63334734,10,Template:COVID-19 pandemic data/Slovakia medical cases
63334927,14,Category:Containment efforts related to the COVID-19 pandemic
63335287,0,COVID-19 pandemic in Nigeria
63335745,10,Template:COVID-19 pandemic data/Denmark medical cases
63336450,0,COVID-19 pandemic in Costa Rica
63336518,0,COVID-19 pandemic in Oman
63336523,0,COVID-19 pandemic in Qatar
63337092,0,COVID-19 pandemic in Cambodia
63337896,0,COVID-19 pandemic in Afghanistan
63338088,0,Impact of the COVID-19 pandemic on commercial air transport
63338347,10,Template:COVID-19 pandemic data/Romania medical cases chart
63339302,10,Template:COVID-19 pandemic data/India medical cases chart
63339470,14,Category:Impact of the COVID-19 pandemic
63339598,10,Template:COVID-19 pandemic data/South Africa medical cases chart
63341139,0,National responses to the COVID-19 pandemic
63341143,0,COVID-19 pandemic in Turkey
63341569,0,2020 Russia–Saudi Arabia oil price war
63341765,0,COVID-19 pandemic in Massachusetts
63341833,0,COVID-19 pandemic in Bolivia
63342566,10,Template:COVID-19 pandemic data/Philippines medical cases chart
63344223,14,Category:COVID-19 pandemic in India
63344447,0,COVID-19 pandemic in Nepal
63344583,0,COVID-19 pandemic in Panama
63344613,0,COVID-19 pandemic in Jersey
63344926,10,Template:COVID-19 pandemic data/Philippines medical cases summary
63345805,0,Ai Fen
63345956,0,Xie Linka
63346084,0,Liu Wen (doctor)
63346121,0,COVID-19 pandemic in Peru
63346138,0,COVID-19 pandemic in Maldives
63346188,0,COVID-19 pandemic in Tunisia
63346217,0,Death of Liu Fan
63346307,0,COVID-19 pandemic in Bangladesh
63346358,0,Impact of the 2020 coronavirus pandemic in Croatia
63346420,14,Category:COVID-19 pandemic in Croatia
63347475,14,Category:Sports events cancelled due to the COVID-19 pandemic
63347679,0,COVID-19 pandemic in Paraguay
63347894,0,2020 coronavirus outbreak in Slovenia
63347953,0,2020 coronavirus outbreak in Costa Rica
63348021,0,2020 coronavirus outbreak in Latvia
63348134,0,2020 coronavirus outbreak in Lithuania
63348169,0,COVID-19 pandemic in Montenegro
63348271,14,Category:Films postponed due to the COVID-19 pandemic
63350926,0,COVID-19 pandemic in South America
63351627,0,COVID-19 pandemic in Jamaica
63351709,0,COVID-19 pandemic in Honduras
63351907,10,Template:COVID-19 pandemic data/Brazil medical cases chart
63352323,0,Suspension of the 2019–20 NBA season
63352464,0,COVID-19 pandemic in Cuba
63352717,14,Category:Events postponed due to the COVID-19 pandemic
63352991,10,Template:COVID-19 pandemic data/Denmark medical cases chart
63353074,10,Template:COVID-19 pandemic data/Sweden medical cases chart
63353421,0,COVID-19 pandemic in Guyana
63353757,10,Template:COVID-19 pandemic data/Latvia medical cases chart
63354065,0,COVID-19 pandemic in the Democratic Republic of the Congo
63354085,0,COVID-19 pandemic in Senegal
63354087,0,COVID-19 pandemic in Ivory Coast
63354091,0,COVID-19 pandemic in Burkina Faso
63354227,0,COVID-19 pandemic in Jordan
63354230,0,COVID-19 pandemic in Bhutan
63354673,0,Roberto Stella
63354877,10,Template:COVID-19 pandemic data/Lithuania medical cases chart
63354879,10,Template:COVID-19 pandemic data/Brazil medical cases
63355677,0,Impact of the COVID-19 pandemic on sports
63355840,0,COVID-19 pandemic in Metro Manila
63355934,0,COVID-19 pandemic in Saint Vincent and the Grenadines
63356410,0,"COVID-19 pandemic in Washington, D.C."
63356644,14,Category:Music events cancelled due to the COVID-19 pandemic
63356958,0,Michael J. Ryan (doctor)
63357357,10,Template:COVID-19 pandemic data/Australia medical cases chart
63358779,0,Flattening the curve
63358914,0,2020 stock market crash
63359356,0,COVID-19 pandemic in Trinidad and Tobago
63359362,0,COVID-19 pandemic in Maryland
63359827,0,2020 Oval Office address
63360184,0,COVID-19 pandemic in Colorado
63360311,0,COVID-19 pandemic in Florida
63360360,0,COVID-19 pandemic in Washington
63360454,14,Category:Concert tours postponed due to the COVID-19 pandemic
63360479,118,Draft:COVID-19 pandemic in China
63360630,0,COVID-19 pandemic in Oregon
63360641,10,Template:COVID-19 community quarantines in the Philippines
63360874,0,Liang Wudong
63360944,0,Wuhan Jinyintan Hospital
63361298,10,Template:COVID-19 pandemic data/South Africa medical cases
63361460,0,Lee Cha-su
63361768,0,Bruce Aylward
63361784,0,Wang Xianliang
63362010,0,COVID-19 pandemic in Kenya
63362023,0,COVID-19 pandemic in Ghana
63362178,10,Template:COVID-19 pandemic data/Netherlands medical cases chart
63362214,14,Category:Sports events postponed due to the COVID-19 pandemic
63362222,0,COVID-19 pandemic in Gabon
63362225,0,Human rights issues related to the COVID-19 pandemic
63362272,0,COVID-19 pandemic in Kazakhstan
63362360,0,COVID-19 pandemic in the Faroe Islands
63362371,0,COVID-19 pandemic in Gibraltar
63362378,0,COVID-19 pandemic in the Cayman Islands
63362621,0,COVID-19 pandemic in Ethiopia
63363101,0,COVID-19 pandemic in Texas
63363167,14,Category:Impact of the COVID-19 pandemic on sports
63363239,0,COVID-19 pandemic in Alaska
63363245,0,COVID-19 pandemic in Arizona
63363247,0,COVID-19 pandemic in Arkansas
63363248,0,COVID-19 pandemic in Connecticut
63363252,0,COVID-19 pandemic in Delaware
63363256,0,COVID-19 pandemic in Georgia (U.S. state)
63363258,0,COVID-19 pandemic in Hawaii
63363261,0,COVID-19 pandemic in Illinois
63363263,0,COVID-19 pandemic in Indiana
63363266,0,COVID-19 pandemic in Iowa
63363268,0,COVID-19 pandemic in Kansas
63363269,0,COVID-19 pandemic in Kentucky
63363271,0,COVID-19 pandemic in Louisiana
63363276,0,COVID-19 pandemic in Michigan
63363286,0,COVID-19 pandemic in Missouri
63363291,0,COVID-19 pandemic in Montana
63363292,0,COVID-19 pandemic in Nebraska
63363293,0,COVID-19 pandemic in Nevada
63363295,0,COVID-19 pandemic in New Hampshire
63363298,0,COVID-19 pandemic in New Jersey
63363299,0,COVID-19 pandemic in New Mexico
63363304,0,COVID-19 pandemic in North Carolina
63363308,0,COVID-19 pandemic in Ohio
63363309,0,COVID-19 pandemic in Oklahoma
63363314,0,COVID-19 pandemic in Pennsylvania
63363317,0,COVID-19 pandemic in Rhode Island
63363320,0,COVID-19 pandemic in South Carolina
63363322,0,COVID-19 pandemic in South Dakota
63363326,0,COVID-19 pandemic in Tennessee
63363329,0,COVID-19 pandemic in Utah
63363331,0,COVID-19 pandemic in Vermont
63363332,0,COVID-19 pandemic in Virginia
63363334,0,COVID-19 pandemic in Wisconsin
63363335,0,COVID-19 pandemic in Wyoming
63363408,14,Category:Impact of the COVID-19 pandemic on the 2020 Summer Olympics
63364001,0,COVID-19 pandemic in Venezuela
63364006,0,COVID-19 pandemic in Sudan
63364019,0,COVID-19 pandemic in Alabama
63364099,0,COVID-19 pandemic in Guinea
63364122,0,COVID-19 pandemic in Kosovo
63364321,0,COVID-19 pandemic in Antigua and Barbuda
63364407,0,COVID-19 pandemic in North Korea
63364860,0,COVID-19 pandemic in Libya
